year,type_description,incident_type,total
2019,Fires in structure other than in a building,112,7
2019,"Mobile property (vehicle) fire, Other",130,10
2019,"Forest, woods or wildland fire",141,1
2019,Dumpster or other outside trash receptacle fire,154,20
2019,Brush or brush-and-grass mixture fire,142,25
2019,"Commercial Compactor fire, confined to rubbish",117,1
2019,Grass fire,143,9
2019,"Natural vegetation fire, Other",140,13
2019,"Fire in portable building, fixed location",123,1
2019,"Fire in motor home, camper, recreational vehicle",122,1
2019,Outside gas or vapor combustion explosion,163,1
2019,Camper or recreational vehicle (RV) fire,137,1
2020,"Mobile property (vehicle) fire, Other",130,4
2020,Passenger vehicle fire,131,58
2020,Grass fire,143,8
2020,Building fire,111,127
2020,Dumpster or other outside trash receptacle fire,154,31
2020,"Outside rubbish, trash or waste fire",151,48
2020,"Special outside fire, Other",160,14
2020,"Outside rubbish fire, Other",150,35
2020,Fires in structure other than in a building,112,9
2020,"Trash or rubbish fire, contained",118,28
2020,"Fuel burner/boiler malfunction, fire confined",116,5
2020,Off-road vehicle or heavy equipment fire,138,2
2020,"Fire, Other",100,6
2020,"Chimney or flue fire, confined to chimney or flue",114,3
2020,Brush or brush-and-grass mixture fire,142,46
2020,Outside stationary compactor/compacted trash fire,155,1
2020,Outside equipment fire,162,6
2020,Water vehicle fire,134,1
2020,"Natural vegetation fire, Other",140,26
2020,Outside storage fire,161,4
2020,"Cooking fire, confined to container",113,128
2020,Fire in mobile home used as fixed residence,121,1
2020,"Fire in portable building, fixed location",123,1
2020,"Cultivated vegetation, crop fire, Other",170,1
2020,"Commercial Compactor fire, confined to rubbish",117,1
2020,Road freight or transport vehicle fire,132,1
2020,Construction or demolition landfill fire,153,1
2021,Building fire,111,119
2021,Passenger vehicle fire,131,56
2021,"Outside rubbish, trash or waste fire",151,42
2021,Outside stationary compactor/compacted trash fire,155,2
2021,"Trash or rubbish fire, contained",118,27
2021,"Special outside fire, Other",160,17
2021,"Fuel burner/boiler malfunction, fire confined",116,3
2021,Outside storage fire,161,4
2021,"Chimney or flue fire, confined to chimney or flue",114,5
2021,Brush or brush-and-grass mixture fire,142,46
2021,"Mobile property (vehicle) fire, Other",130,10
2021,Fires in structure other than in a building,112,4
2021,Grass fire,143,5
2021,"Fire, Other",100,3
2021,"Forest, woods or wildland fire",141,3
2021,"Natural vegetation fire, Other",140,9
2021,Construction or demolition landfill fire,153,1
2021,Road freight or transport vehicle fire,132,3
2021,Cultivated trees or nursery stock fire,173,2
2021,"Cultivated vegetation, crop fire, Other",170,1
2021,Water vehicle fire,134,1
2021,"Cooking fire, confined to container",113,106
2021,Dumpster or other outside trash receptacle fire,154,25
2021,"Outside rubbish fire, Other",150,30
2021,Outside equipment fire,162,3
