neighborhood,totalperneigh,year
Bloomfield,13,2020
Homewood South,14,2020
Brighton Heights,14,2020
Allentown,14,2020
Bluff,14,2020
Knoxville,15,2020
Garfield,15,2020
South Side Flats,16,2020
Brookline,18,2020
East Liberty,18,2020
Central Business District,18,2020
East Allegheny,19,2020
Hazelwood,19,2020
Mount Washington,20,2020
Squirrel Hill South,22,2020
Swisshelm Park,1,2021
Upper Lawrenceville,1,2021
Morningside,1,2021
West End,1,2021
Chateau,1,2021
Glen Hazel,1,2021
Windgap,1,2021
Esplen,1,2021
Westwood,1,2021
Chartiers City,1,2021
Friendship,2,2021
South Shore,2,2021
East Carnegie,2,2021
Allegheny Center,2,2021
Bon Air,2,2021
Summer Hill,2,2021
Fairywood,2,2021
Lower Lawrenceville,3,2021
Duquesne Heights,3,2021
Point Breeze,3,2021
South Oakland,3,2021
Central Oakland,3,2021
Bedford Dwellings,3,2021
Terrace Village,3,2021
North Shore,3,2021
Allegheny West,3,2021
West Oakland,3,2021
Perry North,3,2021
Lincoln Place,3,2021
Point Breeze North,3,2021
California-Kirkbride,4,2021
Troy Hill,4,2021
Strip District,4,2021
Crafton Heights,4,2021
Larimer,4,2021
Arlington,4,2021
Banksville,4,2021
Stanton Heights,4,2021
Garfield,4,2021
Northview Heights,4,2021
Polish Hill,4,2021
Central Lawrenceville,4,2021
Spring Hill-City View,5,2021
Crawford-Roberts,5,2021
Upper Hill,5,2021
Beltzhoover,5,2021
South Side Slopes,5,2021
Overbrook,5,2021
Elliott,6,2021
Hays,6,2021
Homewood West,6,2021
Middle Hill,7,2021
Central Northside,7,2021
East Hills,7,2021
Perry South,8,2021
Brookline,8,2021
Beechview,9,2021
Manchester,9,2021
Squirrel Hill North,9,2021
Mount Washington,9,2021
Homewood North,10,2021
Marshall-Shadeland,11,2021
Bloomfield,11,2021
Allentown,11,2021
Sheraden,11,2021
Highland Park,11,2021
Hazelwood,11,2021
North Oakland,12,2021
Lincoln-Lemington-Belmar,12,2021
Brighton Heights,12,2021
East Liberty,12,2021
